date,product_id,product_name,category,warehouse_id,warehouse,supplier_id,supplier,lead_time_days,price,discount,promotion,units_sold,inventory_level,revenue,stockout
2022-01-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67856.74,0.0,0,86.0,1463.0,5835679.91,0
2022-01-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63513.77,16.96,1,79.0,1384.0,5017587.73,0
2022-01-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64068.9,0.0,0,58.0,1326.0,3715996.0,0
2022-01-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66964.28,0.0,0,52.0,1274.0,3482142.58,0
2022-01-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68164.77,0.0,0,68.0,1206.0,4635204.03,0
2022-01-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66488.55,0.0,0,74.0,1132.0,4920152.45,0
2022-01-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62231.29,0.0,0,79.0,1053.0,4916271.93,0
2022-01-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62163.13,0.0,0,57.0,996.0,3543298.37,0
2022-01-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63863.69,0.0,0,93.0,903.0,5939323.32,0
2022-01-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64819.4,0.0,0,86.0,1741.0,5574468.14,0
2022-01-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66441.24,21.98,1,80.0,1661.0,5315299.35,0
2022-01-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64605.69,0.0,0,60.0,1601.0,3876341.24,0
2022-01-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67572.46,0.0,0,71.0,1530.0,4797644.9,0
2022-01-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62655.65,0.0,0,89.0,1441.0,5576353.25,0
2022-01-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65258.97,0.0,0,80.0,1361.0,5220717.37,0
2022-01-29,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66266.1,0.0,0,82.0,1279.0,5433820.37,0
2022-01-30,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63671.62,17.49,1,98.0,1181.0,6239818.66,0
2022-01-31,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64457.31,0.0,0,49.0,1132.0,3158408.42,0
2022-02-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62543.57,11.49,1,72.0,1060.0,4503137.16,0
2022-02-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65959.99,0.0,0,65.0,995.0,4287399.08,0
2022-02-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64041.7,0.0,0,75.0,920.0,4803127.32,0
2022-02-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64901.39,0.0,0,75.0,1505.0,4867604.61,0
2022-02-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63944.5,0.0,0,65.0,1440.0,4156392.41,0
2022-02-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64113.59,11.46,1,110.0,1330.0,7052495.17,0
2022-02-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63386.58,24.25,1,81.0,1249.0,5134313.38,0
2022-02-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,61989.77,0.0,0,56.0,1193.0,3471426.85,0
2022-02-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65017.41,0.0,0,58.0,1135.0,3771009.99,0
2022-02-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63307.15,0.0,0,75.0,1060.0,4748036.42,0
2022-02-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64931.44,0.0,0,71.0,989.0,4610132.45,0
2022-02-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63294.64,9.84,1,103.0,886.0,6519348.34,0
2022-02-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64140.59,0.0,0,86.0,1658.0,5516090.77,0
2022-02-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62729.66,12.98,1,77.0,1581.0,4830184.13,0
2022-02-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66272.78,0.0,0,72.0,1509.0,4771640.39,0
2022-02-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67011.76,11.52,1,84.0,1425.0,5628987.57,0
2022-02-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62375.15,0.0,0,60.0,1365.0,3742508.85,0
2022-02-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66141.99,12.95,1,99.0,1266.0,6548056.59,0
2022-02-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63108.97,0.0,0,81.0,1185.0,5111826.21,0
2022-02-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62887.21,0.0,0,65.0,1120.0,4087668.46,0
2022-02-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63445.39,15.33,1,82.0,1038.0,5202521.95,0
2022-02-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62976.6,24.31,1,96.0,942.0,6045753.24,0
2022-02-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66302.33,0.0,0,70.0,872.0,4641162.81,0
2022-02-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67520.51,0.0,0,68.0,1662.0,4591394.38,0
2022-02-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62800.59,0.0,0,86.0,1576.0,5400850.45,0
2022-02-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66247.32,17.13,1,97.0,1479.0,6425989.92,0
2022-02-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63207.75,0.0,0,63.0,1416.0,3982088.28,0
2022-02-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66602.19,0.0,0,57.0,1359.0,3796325.07,0
2022-03-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67269.95,0.0,0,56.0,1303.0,3767117.32,0
2022-03-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64140.15,0.0,0,60.0,1243.0,3848409.16,0
2022-03-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63335.93,0.0,0,72.0,1171.0,4560187.15,0
2022-03-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66916.27,12.86,1,87.0,1084.0,5821715.79,0
2022-03-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65499.88,0.0,0,91.0,993.0,5960488.65,0
2022-03-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63575.02,0.0,0,85.0,908.0,5403876.73,0
2022-03-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65945.57,0.0,0,56.0,1512.0,3692951.92,0
2022-03-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66610.17,14.4,1,84.0,1428.0,5595254.45,0
2022-03-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65342.97,11.62,1,73.0,1355.0,4770036.98,0
2022-03-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63495.09,0.0,0,61.0,1294.0,3873200.28,0
2022-03-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64172.46,0.0,0,68.0,1226.0,4363727.6,0
2022-03-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63402.06,0.0,0,67.0,1159.0,4247938.27,0
2022-03-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63846.58,0.0,0,94.0,1065.0,6001578.52,0
2022-03-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65343.33,0.0,0,68.0,997.0,4443346.43,0
2022-03-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64478.58,0.0,0,60.0,937.0,3868714.53,0
2022-03-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,61783.7,0.0,0,61.0,876.0,3768805.8,0
2022-03-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63012.78,0.0,0,73.0,1925.0,4599932.99,0
2022-03-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63946.97,0.0,0,77.0,1848.0,4923916.58,0
2022-03-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62360.88,0.0,0,83.0,1765.0,5175953.26,0
2022-03-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65277.19,0.0,0,77.0,1688.0,5026343.64,0
2022-03-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65590.42,0.0,0,59.0,1629.0,3869834.56,0
2022-03-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65144.58,0.0,0,59.0,1570.0,3843530.29,0
2022-03-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63152.84,0.0,0,66.0,1504.0,4168087.22,0
2022-03-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65893.29,0.0,0,97.0,1407.0,6391649.55,0
2022-03-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68093.04,0.0,0,95.0,1312.0,6468838.66,0
2022-03-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63510.41,0.0,0,94.0,1218.0,5969978.51,0
2022-03-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62259.97,0.0,0,71.0,1147.0,4420457.62,0
2022-03-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62876.41,0.0,0,57.0,1090.0,3583955.55,0
2022-03-29,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63376.58,0.0,0,85.0,1005.0,5387009.2,0
2022-03-30,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63569.57,0.0,0,79.0,926.0,5021996.06,0
2022-03-31,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65353.3,19.76,1,102.0,1814.0,6666036.74,0
2022-04-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62781.2,0.0,0,83.0,1731.0,5210839.76,0
2022-04-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63972.22,0.0,0,82.0,1649.0,5245721.86,0
2022-04-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68116.82,0.0,0,82.0,1567.0,5585579.11,0
2022-04-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,61861.55,0.0,0,65.0,1502.0,4021000.57,0
2022-04-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64770.38,0.0,0,69.0,1433.0,4469156.21,0
2022-04-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62062.38,0.0,0,89.0,1344.0,5523552.09,0
2022-04-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65255.95,22.73,1,97.0,1247.0,6329827.48,0
2022-04-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65753.03,0.0,0,92.0,1155.0,6049279.0,0
2022-04-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66956.17,23.89,1,117.0,1038.0,7833871.94,0
2022-04-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65476.89,0.0,0,98.0,940.0,6416734.81,0
2022-04-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65818.61,0.0,0,76.0,864.0,5002214.2,0
2022-04-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65984.65,0.0,0,80.0,1510.0,5278772.08,0
2022-04-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66012.2,0.0,0,59.0,1451.0,3894719.63,0
2022-04-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66180.49,0.0,0,92.0,1359.0,6088604.97,0
2022-04-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66253.79,0.0,0,82.0,1277.0,5432810.56,0
2022-04-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67838.21,0.0,0,67.0,1210.0,4545160.27,0
2022-04-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65311.82,0.0,0,92.0,1118.0,6008687.19,0
2022-04-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65445.38,0.0,0,71.0,1047.0,4646622.11,0
2022-04-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63375.11,0.0,0,68.0,979.0,4309507.27,0
2022-04-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67386.26,0.0,0,81.0,898.0,5458286.89,0
2022-04-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66559.41,0.0,0,88.0,1602.0,5857227.81,0
2022-04-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67616.59,0.0,0,69.0,1533.0,4665544.98,0
2022-04-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67570.9,0.0,0,83.0,1450.0,5608384.78,0
2022-04-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,61820.44,0.0,0,99.0,1351.0,6120224.03,0
2022-04-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67928.95,6.83,1,80.0,1271.0,5434315.72,0
2022-04-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65856.94,0.0,0,74.0,1197.0,4873413.7,0
2022-04-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66121.37,0.0,0,65.0,1132.0,4297889.05,0
2022-04-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66895.26,0.0,0,65.0,1067.0,4348192.15,0
2022-04-29,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62124.13,0.0,0,83.0,984.0,5156302.95,0
2022-04-30,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64619.95,0.0,0,78.0,906.0,5040355.96,0
2022-05-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62407.3,12.02,1,106.0,1856.0,6615173.52,0
2022-05-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63196.75,0.0,0,86.0,1770.0,5434920.22,0
2022-05-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65528.49,0.0,0,58.0,1712.0,3800652.14,0
2022-05-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63288.45,22.61,1,96.0,1616.0,6075691.56,0
2022-05-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64880.84,16.84,1,111.0,1505.0,7201772.73,0
2022-05-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66333.05,0.0,0,71.0,1434.0,4709646.43,0
2022-05-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63398.93,0.0,0,81.0,1353.0,5135313.66,0
2022-05-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65464.57,0.0,0,63.0,1290.0,4124268.2,0
2022-05-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66587.38,0.0,0,79.0,1211.0,5260402.69,0
2022-05-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63293.79,0.0,0,82.0,1129.0,5190090.95,0
2022-05-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65184.41,0.0,0,67.0,1062.0,4367355.19,0
2022-05-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66963.71,0.0,0,79.0,983.0,5290133.1,0
2022-05-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67760.18,16.12,1,93.0,890.0,6301696.89,0
2022-05-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66270.17,10.06,1,99.0,1979.0,6560747.06,0
2022-05-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64704.52,0.0,0,106.0,1873.0,6858678.79,0
2022-05-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65548.04,0.0,0,82.0,1791.0,5374939.53,0
2022-05-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65780.86,5.91,1,79.0,1712.0,5196688.09,0
2022-05-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62972.79,0.0,0,89.0,1623.0,5604578.09,0
2022-05-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62255.28,0.0,0,92.0,1531.0,5727485.31,0
2022-05-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66288.05,24.72,1,76.0,1455.0,5037891.89,0
2022-05-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66200.75,0.0,0,104.0,1351.0,6884878.27,0
2022-05-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67671.03,0.0,0,80.0,1271.0,5413682.14,0
2022-05-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67812.74,0.0,0,58.0,1213.0,3933138.64,0
2022-05-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,61921.39,5.9,1,103.0,1110.0,6377902.69,0
2022-05-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64225.79,0.0,0,81.0,1029.0,5202289.04,0
2022-05-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67199.14,21.84,1,81.0,948.0,5443130.06,0
2022-05-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62116.44,0.0,0,64.0,884.0,3975452.21,0
2022-05-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68248.16,21.26,1,101.0,1773.0,6893064.65,0
2022-05-29,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64206.03,16.7,1,116.0,1657.0,7447899.31,0
2022-05-30,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63082.79,0.0,0,81.0,1576.0,5109706.37,0
2022-05-31,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67458.43,0.0,0,66.0,1510.0,4452256.67,0
2022-06-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62054.83,0.0,0,64.0,1446.0,3971508.93,0
2022-06-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64845.37,0.0,0,73.0,1373.0,4733711.98,0
2022-06-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63750.55,0.0,0,71.0,1302.0,4526289.2,0
2022-06-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64870.3,0.0,0,88.0,1214.0,5708586.29,0
2022-06-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66850.34,0.0,0,96.0,1118.0,6417633.0,0
2022-06-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65702.57,0.0,0,68.0,1050.0,4467774.83,0
2022-06-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65356.3,0.0,0,70.0,980.0,4574941.1,0
2022-06-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64680.92,0.0,0,75.0,905.0,4851068.84,0
2022-06-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65153.41,10.96,1,102.0,1463.0,6645648.31,0
2022-06-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63428.59,7.94,1,82.0,1381.0,5201144.26,0
2022-06-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68120.21,0.0,0,93.0,1288.0,6335179.69,0
2022-06-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63310.95,0.0,0,93.0,1195.0,5887918.03,0
2022-06-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62587.72,0.0,0,52.0,1143.0,3254561.35,0
2022-06-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63996.84,0.0,0,58.0,1085.0,3711816.57,0
2022-06-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66089.13,14.48,1,87.0,998.0,5749753.9,0
2022-06-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62900.57,0.0,0,67.0,931.0,4214338.07,0
2022-06-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62534.13,0.0,0,68.0,863.0,4252321.06,0
2022-06-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65022.21,0.0,0,77.0,1974.0,5006710.34,0
2022-06-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64877.45,0.0,0,66.0,1908.0,4281911.37,0
2022-06-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64202.36,0.0,0,54.0,1854.0,3466927.37,0
2022-06-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67393.96,0.0,0,70.0,1784.0,4717577.0,0
2022-06-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65237.84,0.0,0,73.0,1711.0,4762362.26,0
2022-06-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66689.71,9.72,1,81.0,1630.0,5401866.52,0
2022-06-24,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62710.3,0.0,0,74.0,1556.0,4640562.5,0
2022-06-25,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66216.58,0.0,0,85.0,1471.0,5628408.94,0
2022-06-26,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64331.56,0.0,0,76.0,1395.0,4889198.93,0
2022-06-27,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66543.13,0.0,0,75.0,1320.0,4990735.04,0
2022-06-28,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62329.83,0.0,0,82.0,1238.0,5111045.91,0
2022-06-29,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63265.91,0.0,0,74.0,1164.0,4681677.09,0
2022-06-30,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65967.35,0.0,0,49.0,1115.0,3232400.07,0
2022-07-01,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65547.3,0.0,0,72.0,1043.0,4719405.36,0
2022-07-02,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65418.98,0.0,0,110.0,933.0,7196087.86,0
2022-07-03,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63943.4,0.0,0,97.0,1694.0,6202510.23,0
2022-07-04,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68162.35,0.0,0,47.0,1647.0,3203630.41,0
2022-07-05,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63291.97,0.0,0,80.0,1567.0,5063357.93,0
2022-07-06,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62794.43,0.0,0,67.0,1500.0,4207226.74,0
2022-07-07,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63603.12,0.0,0,67.0,1433.0,4261408.95,0
2022-07-08,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68135.46,0.0,0,48.0,1385.0,3270502.13,0
2022-07-09,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64336.06,0.0,0,93.0,1292.0,5983253.71,0
2022-07-10,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62860.77,22.31,1,90.0,1202.0,5657469.24,0
2022-07-11,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,67790.94,0.0,0,74.0,1128.0,5016529.85,0
2022-07-12,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66751.7,0.0,0,53.0,1075.0,3537840.32,0
2022-07-13,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63853.92,0.0,0,77.0,998.0,4916751.46,0
2022-07-14,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62496.44,0.0,0,56.0,942.0,3499800.6,0
2022-07-15,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,63626.1,0.0,0,78.0,864.0,4962835.69,0
2022-07-16,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65211.83,0.0,0,84.0,1440.0,5477793.83,0
2022-07-17,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64702.74,0.0,0,66.0,1374.0,4270380.96,0
2022-07-18,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,66199.72,0.0,0,53.0,1321.0,3508584.9,0
2022-07-19,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62652.36,0.0,0,73.0,1248.0,4573622.35,0
2022-07-20,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,65689.66,0.0,0,71.0,1177.0,4663966.02,0
2022-07-21,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,62443.55,0.0,0,63.0,1114.0,3933943.34,0
2022-07-22,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,68191.04,19.92,1,102.0,1012.0,6955486.24,0
2022-07-23,P001,Laptop,Electronics,W001,Indore,S001,TechSupply,13.0,64214.99,0.0,0,83.0,929.0,5329843.82,0
